project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
SensorLib,https://github.com/lewisxhe/SensorLib,096f7842b4ac7045c300f2321bd1793035e8c897,f1508c789ce1f4243e6a0b37685b9d15db3bd739,lewishe,2022-12-30,ExtensionIOXL9555 Fix init,1,0.9995627999305724,XL9555,src/ExtensionIOXL9555.tpp,0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,aa2b49b93b295af2362e80a4170a7ec67f33b936,c5953f028ff290d8d8199e316032ef62753560eb,lewishe,2023-01-03,"[ExtensionIOXL9555]Fix init,add examples",1,0.9997155070304872,XL9555,"examples/XL9555_ExtensionIOInterrupt/XL9555_ExtensionIOInterrupt.ino, examples/XL9555_ExtensionIORead/XL9555_ExtensionIORead.ino, examples/XL9555_ExtensionIOWirte/XL9555_ExtensionIOWirte.ino, src/ExtensionIOXL9555.tpp, src/REG/XL9555Constants.h",0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,25fb1d02e6ea02951fcc1ed04f0c363e2e714c9d,d721fdc22a34e2a0be8dc17c698b1244a78327d6,lewishe,2023-04-03,Fix Orientation and add BMA423 Orientation example,1,0.999382495880127,BMA423,"examples/BAM423_Orientation/BAM423_Orientation.ino, platformio.ini, src/SensorBMA423.hpp",0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,fbfa53deae3ece11c2fc0046d9e947758119022d,bade8d7dc01002bc25f479ecb4c03f549c271e01,lewis,2023-05-05,[SensorBMA423] Fix no configure fail interrupt,1,0.9997320771217346,BMA423,src/SensorBMA423.hpp,0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,16b0df1511d93cc75d4a569faa992fc64a76ed17,29e2199999227d09520bd8e116e12e80aaf64813,lewishe,2023-09-28,Fixed XL9555 examples,1,0.999735414981842,XL9555,"examples/XL9555_ExtensionIOInterrupt/XL9555_ExtensionIOInterrupt.ino, examples/XL9555_ExtensionIORead/XL9555_ExtensionIORead.ino, examples/XL9555_ExtensionIOWirte/XL9555_ExtensionIOWirte.ino",0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,874bf083fe72ddc2ec9d1741604d2f6e3183f4f1,047e3dcf9a9c1486368594b0cb1c76730f8ea7be,lewis,2023-10-07,Fixed BHI260  error,1,0.9997218251228333,BHI260,"src/SensorBHI260AP.hpp, src/bosch/BoschParse.cpp",0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,26040aaa5a113baed0a6632b0aad48d836bf2d0d,0ccabdf661d9c627988b1cdc58f1bb0d52f10bb4,lewis,2023-10-09,Fixed SensorBHI260AP address,1,0.9997342228889464,BHI260,src/SensorBHI260AP.hpp,0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,0ab99498bbdec47eaf2ccfd4b3de75f8e41dc466,bbda8ba707aed13d4eb0e45ec55e3364b928c341,lewis,2023-10-09,Fixed BHI260 init prams,1,0.9997220635414124,BHI260,"examples/BHI260AP_6DoF/BHI260AP_6DoF.ino, examples/BHI260AP_DebugInfo/BHI260AP_DebugInfo.ino, examples/BHI260AP_Orientation/BHI260AP_Orientation.ino, examples/BHI260AP_StepCounter/BHI260AP_StepCounter.ino, src/bosch/common/bosch_interfaces.cpp",0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,611a36fc955c0e41350cd32a5876b6467aa70571,82f5482dde4659da0ee1ab8262bb31bc539894f6,lewishe,2023-12-11,Fix BHI260 I2C communication limitation,1,0.9997124075889589,BHI260,src/SensorBHI260AP.hpp,0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,05accf9eeb4de22d8aa3763e6ef08e708a79e613,ed087661a9d4c5b109c8069d6dc632e6b7c9d69f,lewisxhe,2024-08-14,[BMA423] Fixed typo,1,0.9997233748435974,BMA423,src/SensorBMA423.hpp,0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,326352e1491bc8ec2820f7d1f27dd190bfab8dd6,1dcd8c1d21ae8f4bea99da7873dcc00290a1d993,lewisxhe,2024-09-23,Fix BMA423 example filename typo,1,0.9997175335884094,BMA423,"examples/BAM423_Accelerometer/BAM423_Accelerometer.ino, examples/BAM423_Orientation/BAM423_Orientation.ino, examples/BAM423_Temperature/BAM423_Temperature.ino, examples/BMA423_Accelerometer/BMA423_Accelerometer.ino, examples/BMA423_Orientation/BAM423_Orientation.ino, examples/BMA423_Temperature/BMA423_Temperature.ino, platformio.ini",0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,234de6afa8e53082b0234bbd4180ab3cf69d3419,9e4cc989575519df84ccab4e9c50e9ee0b136b24,lewisxhe,2024-10-08,Fixed BHI260 firmware update failure,1,0.99948251247406,BHI260,"src/SensorBHI260AP.hpp, src/bosch/BoschParse.cpp",0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,8b12554ebc8b6bf43885698d99dde035794edaf3,e69c7ece8470b6378be7455aa02f98e73c50abcd,lewisxhe,2024-10-22,"[SensorBHI260AP] NRF52, unknown BUG, ​​temporarily resolved",1,0.9997054934501648,BHI260,src/bosch/BoschParse.cpp,0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,c35a0321499b3558cef7b9fb2b1aae7fa0a934b9,55a32435e5d7701e1d37cbed89bee7e96bdc4d5e,lewisxhe,2024-11-15,[SensorBHI260AP] Fix missing return value,1,0.9997069239616394,BHI260,src/SensorBHI260AP.hpp,0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,72baae225fabb25666d87bc5da4f954966772329,3e8701c740b6142e77917511d6807d870af6ae3c,lewisxhe,2025-01-04,[SensorBHI260AP] Fix typos & update examples,1,0.9996371269226074,BHI260,"examples/BHI260AP_UpdateFirmware/BHI260AP_UpdateFirmware.ino, examples/BHI260AP_aux_BMM150/BHI260AP_aux_BMM150.ino, examples/BHI260AP_aux_BMM150_BME280/BHI260AP_aux_BMM150_BME280.ino, examples/BHI260AP_aux_BMM150_BME280_Expand_GPIO/BHI260AP_aux_BMM150_BME280_Expand_GPIO.ino, examples/BHI260AP_aux_BMM150_euler/BHI260AP_aux_BMM150_euler.ino, examples/BHI260AP_aux_BMM150_quaternion/BHI260AP_aux_BMM150_quaternion.ino, keywords.txt, src/SensorBHI260AP.hpp",0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,c384173830bd13f93739997a6c21ed76f3ee67f0,7bc3c4f72f6586d75655dd665444dce262bfe2d3,lewisxhe,2025-01-24,[SensorBHI260AP]Fix possible memory leaks,1,0.9997164607048036,BHI260,"src/SensorBHI260AP.cpp, src/bosch/BoschSensorInfo.hpp",0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,d70d9ad3ee8b4c2ab232b2ff37ba5c509ef41070,4855395ab7304a2c695cac59b59356e5b6a7cf8e,lewisxhe,2025-01-28,[SensorBHI260AP]Fix booting from flash failed,1,0.9997227787971495,BHI260,src/SensorBHI260AP.cpp,0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,ca7c6b6c39bd7e8d191b95f4db0f5ca672d399de,124646aca00bb1fb8804751ef5e12fb246dc5049,lewisxhe,2025-01-28,[SensorBHI260AP] Fix BoschSensorInfo print format,1,0.9997236132621764,BHI260,src/bosch/BoschSensorInfo.hpp,0,other,other,SensorLib.json,repos/SensorLib
SensorLib,https://github.com/lewisxhe/SensorLib,50f8882a7ffaf915b6b3dcbd0ff9d999438f0536,1a83e9858759ab1e84a215bb04009374b440d895,lewisxhe,2025-02-04,[SensorBHI260AP]Fixed typo,1,0.9997126460075378,BHI260,"examples/BHI260AP_Klio_Recognition/BHI260AP_Klio_Recognition.ino, examples/BHI260AP_Klio_RecognizeMultiple/BHI260AP_Klio_RecognizeMultiple.ino, examples/BHI260AP_Klio_Selflearning/BHI260AP_Klio_Selflearning.ino, src/BoschFirmware.h, src/SensorBHI260AP_Klio.cpp, src/SensorBHI260AP_Klio.hpp, src/bosch/BoschSensorID.hpp, src/bosch/firmware/Bosch_bhi260_kilo-flash.fw, src/bosch/firmware/Bosch_bhi260_kilo.fw, src/bosch/firmware/Bosch_bhi260_kilo_turbo-flash.fw, src/bosch/firmware/Bosch_bhi260_klio-flash.fw, src/bosch/firmware/Bosch_bhi260_klio.fw, src/bosch/firmware/Bosch_bhi260_klio_turbo-flash.fw, src/bosch/firmware/bosch_bhi260_kilo.h, src/bosch/firmware/bosch_bhi260_kilo_flash.h, src/bosch/firmware/bosch_bhi260_kilo_turbo_flash.h, src/bosch/firmware/bosch_bhi260_klio.h, src/bosch/firmware/bosch_bhi260_klio_flash.h, src/bosch/firmware/bosch_bhi260_klio_turbo_flash.h",0,other,other,SensorLib.json,repos/SensorLib
