project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
as-deprecated,https://github.com/autoas/as-deprecated,1fb6b4d9f7ae9d11c346a2d6605a0d35c0657db4,7bcb002d8c972ceb9fbd4fcc986a0b6ae2d3efcf,parai,2015-06-14,"AT91SAM3S USB2Ser example not working, so start to try STM32",1,0.9920726418495178,USB,".cproject, com/as.infrastructure/arch/stm32f1/Libraries/CMSIS/CM3/DeviceSupport/ST/STM32F10x/stm32f10x.h, com/as.infrastructure/arch/stm32f1/Libraries/CMSIS/CM3/DeviceSupport/ST/STM32F10x/system_stm32f10x.c, com/as.infrastructure/arch/stm32f1/Libraries/CMSIS/CM3/DeviceSupport/ST/STM32F10x/system_stm32f10x.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/misc.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_adc.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_bkp.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_can.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_cec.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_conf.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_crc.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_dac.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_dbgmcu.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_dma.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_exti.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_flash.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_fsmc.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_gpio.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_i2c.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_iwdg.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_pwr.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_rcc.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_rtc.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_sdio.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_spi.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_tim.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_usart.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/inc/stm32f10x_wwdg.h, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/misc.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_adc.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_bkp.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_can.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_cec.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_crc.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_dac.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_dbgmcu.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_dma.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_exti.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_flash.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_fsmc.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_gpio.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_i2c.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_iwdg.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_pwr.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_rcc.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_rtc.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_sdio.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_spi.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_tim.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_usart.c, com/as.infrastructure/arch/stm32f1/Libraries/STM32F10x_StdPeriph_Driver/src/stm32f10x_wwdg.c, com/as.infrastructure/system/kernel/Os.h, com/as.infrastructure/system/kernel/toppers_osek/portable/armv7_m/portable.c, com/as.infrastructure/system/kernel/toppers_osek/portable/armv7_m/portable.h, com/as.tool/as.one.py/asserial.py, com/as.tool/config.infrastructure.system/KsmGen.py, release/ascore/Makefile, release/ascore/app/app.c",1,build system,other,as-deprecated.json,repos/as-deprecated
as-deprecated,https://github.com/autoas/as-deprecated,144f364bf82e4ecb3ce0f7953435a3b6d4316291,b99d286c140672eab044e07406659e4e82db65b9,parai,2016-04-09,NVM test and build error fix,1,0.999734342098236,NVM,"com/as.application/common/test/tester.c, com/as.infrastructure/diagnostic/Det/asdebug.c, release/ascore/Makefile",1,build system,other,as-deprecated.json,repos/as-deprecated
as-deprecated,https://github.com/autoas/as-deprecated,3a7327ab93103c3d42618aa1ee190269cbccee45,4063e795f9d5ef453b9b6266592db1fbff8d094a,parai,2016-07-16,RPMSG start run with out memory access exception,1,0.9996885061264038,RPMSG,"com/as.application/board.posix/common/Ipc_Cfg.c, com/as.application/board.posix/common/Ipc_Cfg.h, com/as.application/common/config/VirtQ_Cfg.h, com/as.infrastructure/communication/RPmsg/RPmsg.c, com/as.infrastructure/communication/RPmsg/VirtQ.c, release/aslinux/kernel/drivers/remoteproc/asvirt_remoteproc.c",0,other,other,as-deprecated.json,repos/as-deprecated
as-deprecated,https://github.com/autoas/as-deprecated,092d77daca234eaf4ee8807b73c08ec0c879e5ce,b8e1ccd2e1c5c2665bfa40b9b838433dbd80840e,parai,2016-07-20,"aslinux:debug MCU side RPMSG, fix bugs",1,0.9996967315673828,"MCU, RPMSG","com/as.application/board.posix/common/Ipc_Cfg.c, com/as.application/board.posix/common/Ipc_Cfg.h, com/as.application/common/config/Rproc_Cfg.c, com/as.application/common/config/VirtQ_Cfg.c, com/as.application/common/config/VirtQ_Cfg.h, com/as.infrastructure/arch/posix/mcal/Ipc.c, com/as.infrastructure/communication/RPmsg/RPmsg.c, com/as.infrastructure/communication/RPmsg/VirtQ.c, com/as.infrastructure/communication/RPmsg/VirtQ.h, com/as.infrastructure/communication/RPmsg/virtio_ring.h, release/aslinux/kernel/drivers/remoteproc/asvirt_remoteproc.c",0,other,other,as-deprecated.json,repos/as-deprecated
as-deprecated,https://github.com/autoas/as-deprecated,41e13f6d29a600f5d48a242b08d33b4558d52336,145881a1dfd0e28f024dc5cb151dc01d8e2dc048,parai.wang,2017-06-03,"fix windows smallos posix starting up hang issue, create a base for RTE\nSWC to control telltale and gauge for the virtual cluster.",1,0.9997268319129944,RTE,"com/as.infrastructure/arch/posix/mcal/Can.c, com/as.infrastructure/include/Compiler.h, com/as.infrastructure/system/SchM/SchM.c, com/as.infrastructure/system/kernel/posix/osal.c, com/as.tool/lua/can/serial_can.c, release/ascore/Makefile",1,build system,other,as-deprecated.json,repos/as-deprecated
as-deprecated,https://github.com/autoas/as-deprecated,fff63b717b8d01413f604a00044b96adce808883,a9ae428ddf77fb2ff513b93a68299c71f3b9bb48,parai,2017-10-08,fix puts implement error and CTEST GetTaskID error,1,0.9997355341911316,TEST,"com/as.infrastructure/clib/stdio_printf.c, com/as.infrastructure/system/kernel/freeosek/tst/ctest/src/ctest_rst.c, com/as.infrastructure/system/kernel/freeosek/tst/ctest/src/ctest_tm_01.c",0,other,other,as-deprecated.json,repos/as-deprecated
as-deprecated,https://github.com/autoas/as-deprecated,7f28575eb6196672c14dc6728657898a2b5095db,1f7e42d5a3d4ed8bdfb9e614e2a15bb00383a8cc,parai.wang,2017-12-10,fix bug of CANIF when disable TASK_FIFO_MODE,1,0.9997255206108092,"CAN, CANIF",com/as.infrastructure/communication/CanIf/CanIf.c,0,other,other,as-deprecated.json,repos/as-deprecated
as-deprecated,https://github.com/autoas/as-deprecated,b7e24415f0e6c389530eb05ecd254ae4f3179707,b1952b4847f840f7c4c3c3148bfd0d5887fc7135,parai.wang,2017-12-12,aslua:add support of ZLG USBCAN and fix some warnings,1,0.999460756778717,"CAN, USB","com/as.application/common/config/RPmsg_Cfg.c, com/as.infrastructure/arch/posix/mcal/Ipc.c, com/as.infrastructure/system/shell/shell.c, com/as.tool/lua/can/lascanlib.c, com/as.tool/lua/can/lascanlib.h, com/as.tool/lua/can/peak_can.c, com/as.tool/lua/device/lasdev_rs232.c, com/as.tool/lua/device/lasdev_websock.c, com/as.tool/lua/device/lasdevlib.c, com/as.tool/lua/pyas/Makefile, com/as.tool/lua/script/ascan.py, release/aslua/Makefile",1,build system,other,as-deprecated.json,repos/as-deprecated
as-deprecated,https://github.com/autoas/as-deprecated,f014c8f6dfb26900c706c50c893b1e089906926e,1159ad1108faad48d28464e9ed992bfcdeae2ca4,parai.wang,2018-02-21,scons: fix FATFS travis CI build issue,1,0.9997316002845764,FATFS,".cproject, com/as.application/board.versatilepb/SConscript, com/as.tool/config.infrastructure.system/building.py, com/as.tool/config.infrastructure.system/xcc.py, release/asboot/SConstruct, release/ascore/SConstruct",0,other,other,as-deprecated.json,repos/as-deprecated
as-deprecated,https://github.com/autoas/as-deprecated,593969fd7c7c717cb7497aff5163c83e830e15aa,425c4541a6be7d0da077a7d8632958cacf41cb1a,parai.wang,2018-02-21,travis: fix CI FATFS build issue and add x86 build,1,0.999723494052887,FATFS,".travis.yml, com/as.application/board.posix/SConscript",0,other,other,as-deprecated.json,repos/as-deprecated
