project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
chrome-ec,https://github.com/coreboot/chrome-ec,ff3ebed7a8970e11f4169390469e4bb1d67543cc,3c90a7f2ac806bdcdb8f6a6f0f1bc8309caa2c23,Randall Spangler,2012-01-13,GPIO interrupts are disabled by default\n\nAdded gpio_enable_interrupt() to enable them.  This ensures that a\nmodule which handles GPIO interrupts doesn't get them until it's\nready.\n\nSigned-off-by: Randall Spangler <rspangler@chromium.org>\n\nBUG=chrome-os-partner:7456\nTEST=toggle power button while rebooting; without this fix it triggers a hard fault.\n\nChange-Id: I35d926053963a70dd9246ce46a4913603b2b2489,1,0.9995834231376648,GPIO,"chip/lm4/gpio.c, chip/lm4/power_button.c, include/gpio.h",0,other,other,chrome-ec.json,repos/chrome-ec
chrome-ec,https://github.com/coreboot/chrome-ec,c4a867984ef707d974f95f4f06f80c4b04db3bc2,028150a0591c899feae6ec08fcd7efd685ca80ee,Randall Spangler,2012-01-26,Fix missing GPIO interrupts\n\nSigned-off-by: Randall Spangler <rspangler@chromium.org>\n\nBUG=none\nTEST=push and release power button; should see debug messages\n\nChange-Id: I4a08b56247baa85555514623db7a04ab4638ca0e,1,0.9996606111526488,GPIO,"board/link/board.c, chip/lm4/gpio.c",0,other,other,chrome-ec.json,repos/chrome-ec
chrome-ec,https://github.com/coreboot/chrome-ec,7a5832bcd87c25ed8ed7892b007daae516ff4f32,414499778d790c249ebb77dee71704616cc461d9,Randall Spangler,2012-01-26,"Fix setting GPIO outputs and keyboard scanning\n\nKeyboard scanning was not properly configuring GPIOs on link.  Among\nthe problems, it was setting GPIO level then direction, when it needs\nto set direction first.  Also fixed this in gpio pre-init.\n\nSigned-off-by: Randall Spangler <rspangler@chromium.org>\n\nBUG=chrome-os-partner:7761\nTEST=1) press keys on keyboard; see keyboard state change on console\n2) 'gpioget PCH_PWRBTNn' should report 1 after boot, not 0\n\nChange-Id: I54010aa6eef1de4822574f964de369b459ee6d0f",1,0.9996224641799928,GPIO,"chip/lm4/gpio.c, chip/lm4/keyboard_scan.c",0,other,other,chrome-ec.json,repos/chrome-ec
chrome-ec,https://github.com/coreboot/chrome-ec,359b9eebab8d6ae422025d01e4463b730751b7c1,8236345574850df798197878d413e87f3cdc09b6,Vincent Palatin,2012-02-15,stm32l: fix Daisy GPIO declaration\n\nThe order of the GPIO in the header was not matching the signal list.\nEC_INT is an output to trigger an interrupt on the application\nprocessor.\n\nSigned-off-by: Vincent Palatin <vpalatin@chromium.org>\n\nBUG=None\nTEST=make BOARD=daisy\n\nChange-Id: Ib0eb675ad7d7e9e105b1d486c181a6df9bd5ad9b,1,0.9997139573097228,GPIO,"board/daisy/board.c, board/daisy/board.h",0,other,other,chrome-ec.json,repos/chrome-ec
chrome-ec,https://github.com/coreboot/chrome-ec,b70183a9bd93cb2ffb987434cca72ccac4f505cf,36572d45faeac979ee3587bf9ae3bcc8e2fe14d8,Randall Spangler,2012-03-20,"Implement persistent flash write protect settings\n\nThis uses the last bank of flash to hold persistent settings, and\nlooks at the write protect GPIO to decide whether to protect the chip\nat boot (chrome-os-partner:7453).\n\nFor ease of debugging, I've temporarily hacked this so flash uses the\nRECOVERYn signal (dut-control goog_rec_mode:on) to enable WP instead\nof the write protect signal; this works around chrome-os-partner:8580.\n\nAlso note that if you write protect any blocks even temporarily,\nyou'll need to do a power-on reset to clear them before you can\nreprogram the flash.  See chrome-os-partner:8632.  At the EC console,\n""hibernate 1"" will do that, or you can just yank the power.\n\nThis also fixes a bug in the flash write and erase commands, where\nthey weren't properly detecting failure if you attempted to modify a\nprotected block (missed an interrupt reason...)\n\nNew ""flashwp"" console commands work.  LPC commands need reworking.\n\nSigned-off-by: Randall Spangler <rspangler@chromium.org>\n\nBUG=chrome-os-partner:8448\nTEST=manual\n\nChange-Id: I49c38cc25c793094ae3331a4586fda0761b4bac6",1,0.9989593029022216,GPIO,"board/link/board.h, chip/lm4/config.h, chip/lm4/flash.c, common/build.mk, common/flash_commands.c, common/flash_common.c, include/flash.h",0,other,other,chrome-ec.json,repos/chrome-ec
chrome-ec,https://github.com/coreboot/chrome-ec,285fa08d10c2e5fce6e0db6f217a83b5a42e8004,a5027ece4cb02a736db3db1e971bffd699422dec,Vincent Palatin,2012-05-01,"stm32: fix ADV compilation\n\npower related GPIO has been renamed, update the board definitions.\n\nSigned-off-by: Vincent Palatin <vpalatin@chromium.org>\n\nBUG=None\nTEST=make BOARD=adv\n\nChange-Id: I2f0e1e9e93af22c1a6f64f354336bf0c30e9c5cd",1,0.9994968175888062,GPIO,"board/adv/board.c, board/adv/board.h",0,other,other,chrome-ec.json,repos/chrome-ec
chrome-ec,https://github.com/coreboot/chrome-ec,7cbb8df5380c8ae4401384048dedb76a66a39a6a,391925a1cbc1d8087e2087781ee01cc2862461fc,David Hendricks,2012-05-04,daisy: fix a bug in the GPIO enum listing\n\nThese GPIOs should have been removed in fd5d6c.\n\nBUG=Yes.\nTEST=built a new image and booted Daisy-EVT1\n\nSigned-off-by: David Hendricks <dhendrix@chromium.org>\n\nChange-Id: Idce4384cdbe548c2e4fe2be8b52e4275445c9f1b,1,0.9996191263198853,GPIO,board/daisy/board.h,0,other,other,chrome-ec.json,repos/chrome-ec
chrome-ec,https://github.com/coreboot/chrome-ec,33422ee34169123a53bf47366e3ce474a6acfb3a,d8872b6cb7e9d0f0320e62c3199da321a14cacd6,Randall Spangler,2012-05-09,"Fix polarity of radio-disable GPIOs\n\nSigned-off-by: Randall Spangler <rspangler@chromium.org>\n\nBUG=chrome-os-partner:8932\nTEST=manual\n\n1) gpioget with system off -> ENABLE_WLAN = 0, RADIO_ENABLE_* = 0\n2) gpioget with system on -> ENABLE_WLAN = 1, RADIO_ENABLE_* = 1\n\nChange-Id: I397a195b4539083c622b85d63703c334cae931fb",1,0.9996808767318726,GPIO,"board/link/board.c, board/link/board.h, common/x86_power.c",0,other,other,chrome-ec.json,repos/chrome-ec
chrome-ec,https://github.com/coreboot/chrome-ec,9ab7beb509382a7b2e881b29c077f4342cf2b3af,aa5397e48429ee7e272164923c3754025a9cd4a0,Vincent Palatin,2012-05-22,"stm32: fix sysjump on stm32f100\n\nThe warm boot condition was badly detected since we are tweaking the\nGPIO enables in board.c. The timer enable (TIM2) is a more reliable\ncondition.\n\nSigned-off-by: Vincent Palatin <vpalatin@chromium.org>\n\nBUG=chrome-os-partner:8865\nTEST=on Snow, boot Linux then type ""sysjump A"" in the EC console and see\nthat AP & Linux are still alive.\n\nChange-Id: If375aa320c140360d313241b5d9219ffa8bcecd7",1,0.9995796084403992,GPIO,chip/stm32/gpio-stm32f100.c,0,other,other,chrome-ec.json,repos/chrome-ec
chrome-ec,https://github.com/coreboot/chrome-ec,37f19ecc84d506ece33d5c19b5e02b7ab71549dc,dbefb29f028108c6faadb40acebf942dfe51b92c,Vic Yang,2012-07-11,"Add GPIO get/set host command\n\nThese commands are used in factory test. If system is locked, GPIO\ncommands are disabled for security reason.\n\nBUG=chrome-os-partner:11164\nTEST= - 'ectool gpioget enable_backlight' gives 1.\n      - 'ectool gpioset enable_backlight 0' turns off display.\n      - Lock system. Check these commands return error.\n\nChange-Id: I3ea41285075ebe963ba7d30e4ae183cef9b1c105\nReviewed-on: https://gerrit.chromium.org/gerrit/27019\nCommit-Ready: Vic Yang <victoryang@chromium.org>\nReviewed-by: Vic Yang <victoryang@chromium.org>\nTested-by: Vic Yang <victoryang@chromium.org>",1,0.9984719157218932,GPIO,"common/gpio_commands.c, include/ec_commands.h, util/ectool.c",0,other,other,chrome-ec.json,repos/chrome-ec
