project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
crust,https://github.com/crust-firmware/crust,376b8b3032a18a6acb9ea5d29b0dd45cf2cfb191,93e9e67492aeb61214b77243a1d4374e447ab261,Samuel Holland,2018-04-10,"platform: sun50i: Fix r_i2c pins on H5\n\nSince the H5 does not have an RSB controller, the I²C pinmux is on a\ndifferent function.\n\nSigned-off-by: Samuel Holland <samuel@sholland.org>",1,0.999666690826416,RSB,platform/sun50i/devices.c,0,other,other,crust.json,repos/crust
crust,https://github.com/crust-firmware/crust,c452969f7b82329b702fb01219b95f6c2e9f5573,05e2767efc332969bc1f399ae394f6b513c43ee6,Samuel Holland,2018-04-11,"drivers: irqchip: sun4i-intc: Fix receiving NMIs (IRQ 0)\n\nAs an optimization, the current code tries to handle all incoming IRQs\nduring a single interrupt. This has worked before because the current\nIRQ register reads as zero when no IRQs are pending. However, the NMI\npin connected to the PMIC is at interrupt zero. In that case, the\nregister will read zero even though there is a pending interrupt.\n\nSolve the issue by only handling one IRQ per interrupt.",1,0.9997463822364808,PMIC,drivers/irqchip/sun4i-intc.c,0,other,other,crust.json,repos/crust
crust,https://github.com/crust-firmware/crust,487ef994aa2498b237654f62ef63136791cefd14,c2efaffbbdc841f5f753a6f2bc119b078100096b,Samuel Holland,2019-03-02,drivers: Fix Kconfig for I²C and RSB\n\nSigned-off-by: Samuel Holland <samuel@sholland.org>,1,0.9997112154960632,RSB,"drivers/Makefile, drivers/rsb/Makefile",1,build system,other,crust.json,repos/crust
crust,https://github.com/crust-firmware/crust,578dfd912514df7e8f5fc4246d05ab02153c6c74,5847e770d067f611ae96368ed87e68379a67dc58,Samuel Holland,2019-12-27,"drivers: sun6i-i2c: Fix GPIO pinmux on A83T\n\nIt looks like the H5 is the odd SoC, having R_I2C on pinmux 2. A83T,\nA64, and H6 all have R_I2C on pinmux 3, even though H6 (like H5) does\nnot have RSB.\n\nSigned-off-by: Samuel Holland <samuel@sholland.org>",1,0.9996800422668456,"I2C, RSB",drivers/i2c/sun6i-i2c.c,0,other,other,crust.json,repos/crust
crust,https://github.com/crust-firmware/crust,65917e31565ae024eda70f7053745875fc023ed1,37820219fac8ccc9ee2428d3cf592d0082a1147d,Samuel Holland,2020-01-19,"debug: Allow COMPILE_TEST to fill the full address space\n\nRemoving the assertions only allows the allocation for the stack to run\npast the end of SRAM A2. ld(1) produces an error if it has to allocate\nan object outside the memory region we defined. So to remove *all* size\nrestrictions, the memory region must also be enlarged to the size of the\naddress space.\n\nSigned-off-by: Samuel Holland <samuel@sholland.org>",1,0.999629020690918,COMPILE_TEST,common/crust.ld.S,0,other,other,crust.json,repos/crust
crust,https://github.com/crust-firmware/crust,ccfbe522cabbb2af173ad7738bdd7b56083572cb,eeda85f7192a9490efdc453ac170034f2d2e8ffc,Samuel Holland,2020-06-16,"debug: Fix dependencies on the PMIC debug monitor command\n\nThis command should only be enabled when the debug monitor itself is\nenabled. This has no effect on the generated code, since the file is\notherwise not compiled, but it shows up in .config files.\n\nSigned-off-by: Samuel Holland <samuel@sholland.org>",1,0.9997065663337708,PMIC,common/debug/Kconfig,1,build system,other,crust.json,repos/crust
crust,https://github.com/crust-firmware/crust,9f090c5cd3571501f7591b2ee7d614a7dcc12eb1,a60cd938d71bf2f95de51430d1f91a78ba7ceadd,Samuel Holland,2020-11-17,"drivers: regmap: Provide I2C pin config via Kconfig\n\nThe logic for choosing the correct pin mode for PL0 and PL1 is more\ncomplicated than will fit on a single line. The H3 is pin-compatible\nwith the H5, and it also requires a mode of 2. A more general rule is\nthat only chips with an RSB controller put I2C on mode 3 (which makes\nsense, as RSB uses mode 2). Then H6 becomes the exception, not H5.\n\nSigned-off-by: Samuel Holland <samuel@sholland.org>",1,0.9259436726570128,"I2C, RSB","drivers/regmap/Kconfig, drivers/regmap/sun6i-i2c.c",1,build system,other,crust.json,repos/crust
crust,https://github.com/crust-firmware/crust,22e2f8ec6b4ad1e234ed00a74b4ba54a39ca455d,915b869cb585054d615be06ac51054b8d5d6d712,Samuel Holland,2020-11-21,"drivers: sun6i-i2c: Silence warning with COMPILE_TEST\n\nThis driver is always compiled when COMPILE_TEST is enabled, even if\nI2C_PINS_NONE is selected. In that case, *r_i2c.pins would have an empty\ninitializer, and this triggers -Wpedantic. Fix this by moving the\ncompound literal array inside the preprocessor conditions. Then when\nI2C_PINS_NONE is selected, r_i2c.pins is a null pointer.\n\nSigned-off-by: Samuel Holland <samuel@sholland.org>",1,0.9997038245201112,"COMPILE_TEST, I2C, I2C_PINS_NONE",drivers/regmap/sun6i-i2c.c,0,other,other,crust.json,repos/crust
crust,https://github.com/crust-firmware/crust,a29d4643c47b9de05bd37d88286b6dabda52325d,12c4985b2a0fcb6bf19908b80a8b36989bf7c83a,Samuel Holland,2020-12-05,"Kconfig: Add a feature for platforms with UART4\n\nBecause HAVE_UART4 is selected by platforms, it cannot have any\ndependencies, or Kconfig will throw a warning. However, currently the\nentirety of drivers/serial/Kconfig is inside `if SERIAL`. To drop the\ndependency, move the definition of SERIAL into drivers/serial/Kconfig.\n\nSigned-off-by: Samuel Holland <samuel@sholland.org>",1,0.9929811954498292,"HAVE_UART4, SERIAL","drivers/Kconfig, drivers/serial/Kconfig",1,build system,other,crust.json,repos/crust
crust,https://github.com/crust-firmware/crust,58267556f1b3792b8e742328d693d23ee5ef72b7,219383cd48924179bdd6c5e125c0dd9ab0d78c16,Jernej Skrabec,2021-01-10,"configs: Add Beelink GS1 defconfig\n\nBeelink GS1 is TV box based on H6. It includes AXP805 PMIC but it has no\npower button. It comes with remote, so scancode and protocol are adjusted.\n\nNote: Although according to PCB images board seems to have external\n32768 Hz oscillator, it doesn't work on most of them. Non-working OSC32k\ncaused strange problems with suspend like watchdog reboots. This issue\nis fixed in DT by switching to internal 32k oscillator.\n\nSigned-off-by: Jernej Skrabec <jernej.skrabec@siol.net>",1,0.9996246099472046,PMIC,configs/beelink_gs1_defconfig,0,other,other,crust.json,repos/crust
