project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
esp-idf,https://github.com/espressif/esp-idf,6e9d60ef70703795b03f0e5f4fc82291cb75362c,29b32be97cf31c65146a8376d837bd5a8d174908,Ivan Grokhotkov,2017-04-21,"rtc_clk_init: handle case when XTAL frequency has already been set\n\nOn first reset, ROM code writes the estimated XTAL frequency into\nRTC_APB_FREQ_REG (aka STORE5). If the application doesn’t specify exact\nXTAL frequency (which is always the case for now), rtc_clk_init will\nguess what kind of XTAL is used (26M or 40M), based on the estimated\nfrequency. Later, detected frequency is written into RTC_XTAL_FREQ_REG\n(aka STORE4).\n\nWhen the application switches clock source to PLL, APB frequency changes\nand RTC_APB_FREQ_REG is updated. If the application encounters an RTC\nWDT reset, RTC_APB_FREQ_REG will not be updated prior to reset. Once the\napplication starts up again, it will attempt to auto-detect XTAL\nfrequency based on RTC_APB_FREQ_REG, which now has value of 80000000.\nThis will fail, and rtc_clk_xtal_freq_estimate will fall back to the\ndefault value of 26 MHz. Due to an incorrect XTAL frequency, PLL\ninitialization will also take incorrect path, and PLL will run at a\ndifferent frequency. Depending on the application this may cause just\ngarbage output on UART or a crash (if WiFi is used).",1,0.9991403818130492,XTAL_FREQ,components/soc/esp32/rtc_clk.c,0,other,other,esp-idf.json,repos/esp-idf
esp-idf,https://github.com/espressif/esp-idf,c31953a005d85f782cbaff184e16778caa832065,891257b4dd2c17432eb842d9c5d129f657854db3,Yulong,2017-04-26,component/bt:Fixted the bug of HCI comment timeout error.\n\n1. remove the SMP_INCLUDED == TRUE insite the btm_find_dev_by_handle function.\n2. change the Kconfig with BT_ACL_CONNECTIONS,1,0.9701940417289734,BT_ACL_CONNECTIONS,"components/bt/Kconfig, components/bt/bluedroid/stack/btm/btm_dev.c",1,build system,other,esp-idf.json,repos/esp-idf
esp-idf,https://github.com/espressif/esp-idf,85e9a0fa17f5e8c7e5a80674c110b2e9b3b68762,5f24dcdf4e3f5555fa71f166cd72b8eef456c27a,wangmengyang,2017-06-15,"component/bt: add constraint in Kconfig to enable SMP_ENABLE when using classic BT\n\n1. For now, some security related functions used in classic Bluetooth are controlled by ""SMP_ENABLE"". This commit fixes the dependency.\n2. The two options, ""CLASSIC_BT_ENABLED"" and ""SMP_ENABLED"" The two options will be decoupled in the future.",1,0.9995198249816896,BT_ENABLED,components/bt/Kconfig,1,build system,other,esp-idf.json,repos/esp-idf
esp-idf,https://github.com/espressif/esp-idf,5df39cd4b65bd6c3287e1c0f2b3aa32501af4fed,73462c052e2266e2fa80e0952f32fef705c97f5b,XiaXiaotian,2017-09-30,"Allocate some memories in SPIRAM first.\n\n    Try to allocate some WiFi and LWIP memories in SPIRAM first. If\n    failed, try to allocate in internal RAM then.",1,0.9890557527542114,SPIRAM,"components/esp32/Kconfig, components/esp32/include/esp_wifi_internal.h, components/esp32/lib, components/esp32/wifi_internal.c, components/heap/heap_caps.c, components/heap/include/esp_heap_caps.h, components/lwip/apps/dhcpserver.c, components/lwip/include/lwip/lwip/mem.h, components/lwip/netif/ppp/auth.c, components/lwip/netif/ppp/demand.c, components/lwip/netif/ppp/eap.c, components/lwip/netif/ppp/multilink.c, components/lwip/port/debug/lwip_debug.c, components/lwip/port/freertos/sys_arch.c",1,build system,other,esp-idf.json,repos/esp-idf
esp-idf,https://github.com/espressif/esp-idf,f11ad0c904018cd4fa0527a2a6600e67c12be60b,9317cb343482b22202d27317a4164d3c151c3fc8,Ivan Grokhotkov,2017-10-26,"soc/rtc: fix spurious warnings about XTAL frequency on startup\n\n1. Make sure that 8MD256 clock used to estimate XTAL frequency is enabled\n   before trying to use rtc_clk_cal_ratio.\n   This fixes ""Bogus XTAL frequency: 0 MHz"" warnings after software reset.\n\n2. Don't call rtc_clk_xtal_freq_estimate if XTAL frequency is already\n   known. This reduces startup time after deep sleep or software reset.\n\n3. Compare known XTAL frequency and estimated one before printing a\n   warning. This fixes ""Possibly invalid CONFIG_ESP32_XTAL_FREQ setting\n   (40MHz). Detected 40 MHz."" warnings.",1,0.9996994733810424,XTAL_FREQ,components/soc/esp32/rtc_clk.c,0,other,other,esp-idf.json,repos/esp-idf
esp-idf,https://github.com/espressif/esp-idf,6e7eb3c776cf68669bcc31352ca5493dfb540e6d,1d5389668b7572c6baebccc50d792ec56fd44c58,Ivan Grokhotkov,2017-11-24,"esp_timer: fix for the case when timer is deleted in callback\n\nTimer callback can delete the timer. If CONFIG_ESP_TIMER_PROFILING was\nenabled, this caused an access to invalid (freed) memory.\nThis fix adds a pointer to track the timer while executing the callback.\nThis is needed so that we can check if callback deletes the timer,\nin which case we won't try updating profiling counters for this timer\nafter the callback is done.",1,0.9997451901435852,ESP_TIMER_PROFILING,"components/esp32/esp_timer.c, components/esp32/test/test_esp_timer.c",0,other,other,esp-idf.json,repos/esp-idf
esp-idf,https://github.com/espressif/esp-idf,c69af42b96a36afc3b74e1b52f4dcbc1eadffeb5,8688f0ec05212836b3b691964bc177e2f94697f4,Angus Gratton,2017-12-15,"esp32: Fix backwards compatibility for pre-v2.1 bootloaders\n\nOlder bootloaders don't set RTC_XTAL_FREQ_REG or call rtc_clk_init(),\napp needs to pick this up.\n\nReported at\nhttps://esp32.com/viewtopic.php?f=2&t=3939&p=17836",1,0.9996998310089112,XTAL_FREQ,"components/bootloader/subproject/main/bootloader_start.c, components/bootloader_support/include/bootloader_clock.h, components/bootloader_support/src/bootloader_clock.c, components/esp32/Kconfig, components/esp32/clk.c, components/soc/esp32/include/soc/rtc.h",1,build system,other,esp-idf.json,repos/esp-idf
esp-idf,https://github.com/espressif/esp-idf,301751ede08a8699ee9a9e7c39ced9369cf23573,20616fc0f53b591f8bcc4d00d8f5730c4418280f,Anton Maklakov,2017-10-20,build system: Fix undefined variables\n\n    make/project.mk:315: warning: undefined variable `CC'\n    make/project.mk:316: warning: undefined variable `LD'\n    make/project.mk:317: warning: undefined variable `AR'\n    make/project.mk:62: warning: undefined variable `MAKECMDGOALS'\n    components/partition_table/Makefile.projbuild:24: warning: undefined variable `quote'\n    components/bootloader/Makefile.projbuild:123: warning: undefined variable 'BOOTLOADER_DIGEST_BIN'\n    components/bootloader/Makefile.projbuild:123: warning: undefined variable 'SECURE_BOOTLOADER_KEY',1,0.9995375871658324,SECURE_BOOT,"components/bootloader/Makefile.projbuild, components/partition_table/Makefile.projbuild, make/project.mk",1,build system,other,esp-idf.json,repos/esp-idf
esp-idf,https://github.com/espressif/esp-idf,33aee51727088d8b80df5833c6086164a1d13b91,6acb38af4c273077f6cfd54d6f84af6d5f1e20f9,Darian Leung,2018-02-27,bugfix/remove MEMMAP_SMP config\n\nThis commit removes the MEMMAP_SMP config option.\nDependencies on this config will now depend on !FREERTOS_UNICORE,1,0.8957841992378235,FREERTOS_UNICORE,components/esp32/Kconfig,1,build system,other,esp-idf.json,repos/esp-idf
esp-idf,https://github.com/espressif/esp-idf,1e6f52fb6f6a1c225b0e5c7a9fa99d49f102d368,6acb38af4c273077f6cfd54d6f84af6d5f1e20f9,zhiweijian,2018-02-28,Component/bt: fix build ble server error with BT_BLE_DYNAMIC_ENV_MEMORY option,1,0.9997292160987854,BT_BLE_DYNAMIC_ENV_MEMORY,components/bt/bluedroid/main/bte_init.c,0,other,other,esp-idf.json,repos/esp-idf
