project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
opensbi,https://github.com/riscv-software-src/opensbi,513474cd1b6f3481ee72ec71df916880d7bc0232,aa68f0252f2a0749dee35bda309c397f79ae26a0,Damien Le Moal,2018-12-21,"Fix FDT relocation\n\nOr rather, disable it if FW_PAYLOAD_FDT_ADDR is not defined. This\ncorrespond to cases where the underlying FW that loaded and started\nopensbi did not provide any FDT. In such case, the platform code will\nneed to prepare one.\n\nSigned-off-by: Damien Le Moal <damien.lemoal@wdc.com>",1,0.9997194409370422,FDT,firmware/fw_common.S,0,other,other,opensbi.json,repos/opensbi
opensbi,https://github.com/riscv-software-src/opensbi,446b6f30a44a856e81aa50684ac428f30221f4bb,c1b9dd3ab5177c3f3116b713e0e398243f73f2fa,Bin Meng,2019-08-08,"platform: sifive: fu540: Expand FDT size before any patching\n\nWe should expand the FDT size before any patching, otherwise it's\npossible the ""status"" fix up might fail due to insufficient space.\n\nSigned-off-by: Bin Meng <bmeng.cn@gmail.com>\nReviewed-by: Anup Patel <anup.patel@wdc.com>",1,0.9991002082824708,FDT,platform/sifive/fu540/platform.c,0,other,other,opensbi.json,repos/opensbi
opensbi,https://github.com/riscv-software-src/opensbi,e928472e67f86d73c00537dfa6d5cef5d646426d,ce03c88ee142787cfe994d776491f43020de01de,Heinrich Schuchardt,2021-07-22,"lib: utils: support both of gpio-poweroff, gpio-reset\n\nThe generic GPIO reset driver has two entries in the match table:\n""gpio-poweroff"", ""gpio-reset"". Only the first entry is considered by\nfdt_reset_init().\n\nDefine ""gpio-poweroff"" and ""gpio-reset"" as compatibility strings of two\nseparate reset drivers. They still can share code.\n\nFixes: e3d6919d10d7 (""lib: utils/reset: Add generic GPIO reset driver"")\nSigned-off-by: Heinrich Schuchardt <heinrich.schuchardt@canonical.com>\nReviewed-by: Atish Patra <atish.patra@wdc.com>",1,0.9996219873428344,GPIO,"lib/utils/reset/fdt_reset.c, lib/utils/reset/fdt_reset_gpio.c",0,other,other,opensbi.json,repos/opensbi
opensbi,https://github.com/riscv-software-src/opensbi,be245acfffa297b5ed4e0c7bb473a6bd55231bf8,57f094e67e0642a16889e9bce64266a4e378683b,Heinrich Schuchardt,2021-11-06,"lib: sbi: error handling in fdt_reset_init()\n\nThe initialization of a reset driver may fail for various reasons, like\na PMIC based reset driver not finding the required I2C driver. The return\ncode of the init routine may take other error values than -ENODEV.\n\nIf the initialization of a reset driver fails, this should not lead to the\nboard hanging. It is enough that the reset driver does not call\nsbi_system_reset_add_device() to avoid invoking the driver for a device\nthat could not be initialized.\n\nChange the return type of fdt_reset_init() to void.\nPrint a message if an error occurs.\n\nSigned-off-by: Heinrich Schuchardt <heinrich.schuchardt@canonical.com>\nReviewed-by: Dong Du <Dd_nirvana@sjtu.edu.cn>\nReviewed-by: Anup Patel <anup.patel@wdc.com>",1,0.9996976852416992,I2C,"include/sbi_utils/reset/fdt_reset.h, lib/utils/reset/fdt_reset.c",0,other,other,opensbi.json,repos/opensbi
opensbi,https://github.com/riscv-software-src/opensbi,68d7b85ec75119787d7c672062de5d29156c44be,5616aa4f4a6d88b1099b90a7e4b1fcf996cf5dab,Anup Patel,2022-08-08,"lib: utils/fdt: Use kconfig for enabling/disabling\n\nWe update FDT support makefile to use kconfig for enabling/disabling.\nTo avoid compilation errors, we also enable FDT for each platform.\n\nSigned-off-by: Anup Patel <apatel@ventanamicro.com>\nTested-by: Andrew Jones <ajones@ventanamicro.com>\nAcked-by: Atish Patra <atishp@rivosinc.com>\nTested-by: Atish Patra <atishp@rivosinc.com>",1,0.9987278580665588,FDT,"include/sbi_utils/fdt/fdt_domain.h, include/sbi_utils/fdt/fdt_pmu.h, lib/utils/Kconfig, lib/utils/fdt/Kconfig, lib/utils/fdt/objects.mk, lib/utils/gpio/Kconfig, lib/utils/i2c/Kconfig, lib/utils/ipi/Kconfig, lib/utils/irqchip/Kconfig, lib/utils/libfdt/Kconfig, lib/utils/libfdt/objects.mk, lib/utils/reset/Kconfig, lib/utils/serial/Kconfig, lib/utils/timer/Kconfig, platform/andes/ae350/Kconfig, platform/fpga/ariane/Kconfig, platform/fpga/openpiton/Kconfig, platform/generic/Kconfig, platform/kendryte/k210/Kconfig, platform/nuclei/ux600/Kconfig, platform/nuclei/ux600/platform.c",1,build system,other,opensbi.json,repos/opensbi
opensbi,https://github.com/riscv-software-src/opensbi,99d09b601eb3809a4cc2aa409da34bc4fe32f67f,745aaecc64dcae0cfb7e40702a173100af94d582,Bin Meng,2023-02-23,"include: fdt/fdt_helper: Change fdt_get_address() to return root.next_arg1\n\nIn sbi_domain_finalize(), when locating the coldboot hart's domain,\nthe coldboot hart's scratch->arg1 will be overwritten by the domain\nconfiguration. However scratch->arg1 holds the FDT address of the\ncoldboot hart, and is still being accessed by fdt_get_address() in\nlater boot process. scratch->arg1 could then contain completely\ngarbage and lead to a crash.\n\nTo fix this, we change fdt_get_address() to return root domain's\nnext_arg1 as the FDT pointer.\n\nResolves: https://github.com/riscv-software-src/opensbi/issues/281\nFixes: b1678af210dc (""lib: sbi: Add initial domain support"")\nReported-by: Marouene Boubakri <marouene.boubakri@nxp.com>\nSigned-off-by: Bin Meng <bmeng@tinylab.org>\nReviewed-by: Anup Patel <anup@brainfault.org>",1,0.9970791339874268,FDT,include/sbi_utils/fdt/fdt_helper.h,0,other,other,opensbi.json,repos/opensbi
opensbi,https://github.com/riscv-software-src/opensbi,ee016a7bb098578a5d0d4bde01259fe3cd57b02f,edc9914392791031df624a7c79d1706f83199666,Gabriel Somlo,2023-03-30,"docs: Correct FW_JUMP_FDT_ADDR calculation example\n\nWhen using `PLATFORM=generic` defaults, the kernel is loaded at\n`FW_JUMP_ADDR`, and the FDT is loaded at `FW_JUMP_FDT_ADDR.\n\nTherefore, the maximum kernel size before `FW_JUMP_FDT_ADDR` must\nbe increased is `$(( FW_JUMP_FDT_ADDR - FW_JUMP_ADDR ))`.\n\nThe example calculation assumes `rv64`, and is wrong to boot\n(off by 0x200000). Fix it and update it for the general case.\n\nSigned-off-by: Gabriel Somlo <gsomlo@gmail.com>\nReviewed-by: Andrew Jones <ajones@ventanamicro.com>\nReviewed-by: Xiang W <wxjstz@126.com>",1,0.951296865940094,FDT,docs/firmware/fw_jump.md,0,other,other,opensbi.json,repos/opensbi
opensbi,https://github.com/riscv-software-src/opensbi,2868f26131308ff345382084681ea89c5b0159f1,ee016a7bb098578a5d0d4bde01259fe3cd57b02f,Heinrich Schuchardt,2023-03-31,"lib: utils: fdt_fixup: avoid buffer overrun\n\nfdt_reserved_memory_fixup() uses filtered_order[PMP_COUNT]. The index\nmust not reach PMP_COUNT.\n\nFixes: 199189bd1c17 (""lib: utils: Mark only the largest region as reserved in FDT"")\nAddresses-Coverity-ID: 1536994 (""Out-of-bounds write"")\nSigned-off-by: Heinrich Schuchardt <heinrich.schuchardt@canonical.com>\nReviewed-by: Xiang W <wxjstz@126.com>\nReviewed-by: Anup Patel <anup@brainfault.org>",1,0.999705970287323,FDT,lib/utils/fdt/fdt_fixup.c,0,other,other,opensbi.json,repos/opensbi
opensbi,https://github.com/riscv-software-src/opensbi,ea6533ada828cf71b9359f566be0f9c640022543,a73982d7376a71cf6e230b255069da46fe2becc9,Anup Patel,2023-07-11,"lib: utils/gpio: Fix RV32 compile error for designware GPIO driver\n\nCurrently, we see following compile error in the designeware GPIO driver\nfor RV32 systems:\n\nlib/utils/gpio/fdt_gpio_designware.c:115:20: error: cast to pointer from integer of different size [-Werror=int-to-pointer-cast]\n  115 |         chip->dr = (void *)addr + (bank * 0xc);\n      |                    ^\nlib/utils/gpio/fdt_gpio_designware.c:116:21: error: cast to pointer from integer of different size [-Werror=int-to-pointer-cast]\n  116 |         chip->ext = (void *)addr + (bank * 4) + 0x50;\n\nWe fix the above error using an explicit type-cast to 'unsigned long'.\n\nFixes: 7828eebaaa77 (""gpio/desginware: add Synopsys DesignWare APB GPIO support"")\nSigned-off-by: Anup Patel <apatel@ventanamicro.com>\nReviewed-by: Xiang W <wxjstz@126.com>",1,0.999686598777771,GPIO,lib/utils/gpio/fdt_gpio_designware.c,0,other,other,opensbi.json,repos/opensbi
opensbi,https://github.com/riscv-software-src/opensbi,6259b2ec2d095a059c89237551839c0fe8bd5bd7,c744ed77b18cd2c3c6deb77a53f6a6e67de2d153,Anup Patel,2023-08-03,"lib: utils/fdt: Fix fdt_parse_isa_extensions() implementation\n\nCurrently, the fdt_parse_isa_extensions() tries to parse the ISA\nstring once for each HART. This ISA string parsing can fail for\nsecondary HARTs if the FDT memory is already overwritten by the\nsupervisor OS.\n\nTo tackle this issue, we improve the fdt_parse_isa_extensions()\nimplementation to pre-parse ISA string for all HARTs during\ncold boot.\n\nFixes: d72f5f17478d (""lib: utils: Add detection of Smepmp from ISA\nstring in FDT"")\nSigned-off-by: Anup Patel <apatel@ventanamicro.com>\nTested-By: Mayuresh Chitale<mchitale@ventanamicro.com>",1,0.9997149109840392,FDT,lib/utils/fdt/fdt_helper.c,0,other,other,opensbi.json,repos/opensbi
