project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
SiFli-SDK,https://github.com/OpenSiFli/SiFli-SDK,1c8590eceb67457a4f2c53a4c72c93230743acc7,89e74f98d9d18389c914f02767df186b342cf6c2,Xiaoming Xi,2025-04-27,"[rel][bug][drv][nand] Fixed using wrong nand address if RT_DFS_ELM_DHARA_ENABLED is not enabled\n\nProject: SiFliSDK\n\nredmine: #id, REDMINE-id\n\next-redmine: REDMINE-4552\n\n[Description in detail]\n\nAffected branch: [main]\n\nChange-Id: I99e639b8fc70379c7571bb842fbcddd9705d8e75",1,0.9997050166130066,RT_DFS_ELM_DHARA_ENABLED,rtos/rtthread/bsp/sifli/drivers/drv_spi_nand.c,0,other,other,SiFli-SDK.json,repos/SiFli-SDK
SiFli-SDK,https://github.com/OpenSiFli/SiFli-SDK,3e0af414d4f0cdea2096ff0a302320c2aedcc090,94dea5337bf7fad9ebcefbea938f7b0cdd53fb0e,Xiaoming Xi,2025-04-27,"[int][bug][build] Fix build error if CPU is not defined\n\nProject: SiFliSDK\n\nredmine: #id, REDMINE-id\n\next-redmine: REDMINE-4543\n\n[Description in detail]\n\nAffected branch: [main]\n\nChange-Id: Ib16acaff968fd4ad66d8e4ec4672d0c7440dcabc",1,0.9996623992919922,CPU,tools/build/building.py,0,other,other,SiFli-SDK.json,repos/SiFli-SDK
SiFli-SDK,https://github.com/OpenSiFli/SiFli-SDK,61fcf8b08ef2c7c58a53d57f7e067ea3e8539707,9971f4e65a1ab1946e3650900f42e6adaf9a2391,Xiaoming Xi,2025-04-28,"[rel][bug][aon] Fixed HAL_LPAON_DisableWakeupSrc not work on LCPU of sf32lb55x\n\nProject: SiFliSDK\n\nredmine: #id, REDMINE-id\n\next-redmine: REDMINE-4581\n\n[Description in detail]\n\nAffected branch: [main]\n\nChange-Id: Ic8fb80b818374f411e5a43cc3d43da7452ec25bb",1,0.9997028708457948,CPU,"drivers/hal/sifli_rom_55x.sym, drivers/hal/sifli_rom_55x_a3.sym, drivers/hal/sifli_rom_55x_a3_gcc.sym, drivers/hal/sifli_rom_55x_a3_xip.sym, drivers/hal/sifli_rom_55x_a3_xip_gcc.sym, drivers/hal/sifli_rom_55x_gcc.sym, drivers/hal/sifli_rom_55x_xip.sym, drivers/hal/sifli_rom_55x_xip_gcc.sym",0,other,other,SiFli-SDK.json,repos/SiFli-SDK
SiFli-SDK,https://github.com/OpenSiFli/SiFli-SDK,5e79e7badc0d14f3924991b2ff6fc6f0afc9a602,c70f0734340447b893c744d093b7c32542978d79,Xiaoming Xi,2025-05-28,"[bug][sym] Fix pin/wdt driver not work on LCPU of 58 A2\n\next-redmine: #5050, REDMINE-5050\n\n[Description in detail]\n\nChange-Id: I77660ae878830bcd9946976d2548f64844101f99",1,0.9996989965438844,CPU,"drivers/hal/sifli_rom_58x_a2.sym, drivers/hal/sifli_rom_58x_a2_gcc.sym",0,other,other,SiFli-SDK.json,repos/SiFli-SDK
SiFli-SDK,https://github.com/OpenSiFli/SiFli-SDK,789e5efa81424315ab58f826b7359f87ebd42fd9,23d69801c78025cbfa52aae0eadeaf7b992dc5d1,Xiaoming Xi,2025-06-03,"[bug][ezipa_dec] Fix ezip get wrong data from flash when CPU accesses the flash at the same time\n\next-redmine: #5115, REDMINE-5115\n\n[Description in detail]\n\nChange-Id: Ia0951ca6389a86d527d9d5584c4bc272a9cd8a2d",1,0.9997033476829528,CPU,middleware/ezipa_dec/ezipa_dec.c,0,other,other,SiFli-SDK.json,repos/SiFli-SDK
SiFli-SDK,https://github.com/OpenSiFli/SiFli-SDK,d5c641fb359f986549e0d17ae640b182aac52bf9,6397c78d5be2379f188176efe39c40d12a06f0a0,Xiaoming Xi,2025-06-15,"[bug][bootloader] Fix ACPU code is not loaded\n\next-redmine: #5227, REDMINE-5227\n\n[Description in detail]\nstill use hcpu_ext2 region to save ACPU image if it's available, dfu use LCPU region\n\nChange-Id: I9b32b72294ab887e13b714600fa26c1bcadcfea6",1,0.999710500240326,CPU,example/boot_loader/project/sf32lb58x_v2/board/main.c,0,other,other,SiFli-SDK.json,repos/SiFli-SDK
SiFli-SDK,https://github.com/OpenSiFli/SiFli-SDK,616439734c9bce0bf091c003a79812ba5c01c894,a599341c767104611670b7986d4671f1b150ab2a,Xiaoming Xi,2025-07-16,"[bug][finsh] Fix simulator build error as FINSH_USING_MSH_ONLY is enabled by default\n\next-redmine: #6049, REDMINE-6049\n\n[Description in detail]\nfinsh_syscall_next is used even if FINSH_USING_MSH_ONLY is defined. According to latest rt-thread version, this part is moved to shell.c.\n\nChange-Id: I9141ec4008c6e5dacfe34399bbc568bc852a7fce",1,0.999690055847168,"FINSH_USING_MSH, FINSH_USING_MSH_ONLY","rtos/rtthread/components/finsh/finsh_vm.c, rtos/rtthread/components/finsh/shell.c",0,other,other,SiFli-SDK.json,repos/SiFli-SDK
SiFli-SDK,https://github.com/OpenSiFli/SiFli-SDK,734b369594db67baafe59b1c0d7816f59af16d68,0f48fd9d1d968d6ed3999614cab81f22a28dee90,Xiaoming Xi,2025-08-08,"[bug][build] Fix HCPU child project build error if C++ is enabled\n\next-redmine: #6218, REDMINE-6218\n\n[Description in detail]\n\nChange-Id: I15181d1c5c60be9a5482e9d04d195b1300537825",1,0.9997031092643738,CPU,tools/build/building.py,0,other,other,SiFli-SDK.json,repos/SiFli-SDK
SiFli-SDK,https://github.com/OpenSiFli/SiFli-SDK,f550719ef4a583bba075614fec68967af5910c88,78e58439bd1c0febb7bb4e2ee8dc9c08b39836fe,luguoxing,2025-08-11,"[new][dlmodule] modification for dlmodule.\n\nredmine: #10154, REDMINE-id\n\next-redmine: #id, REDMINE-id\n\n[Description in detail]\n1. add APIs: app_open (dlopen *_res.so and *.so) & app_close (close\n   module).\n2. fixed 'MODULE_CLEANUP_DEF' compiler error when LV_USING_EXT_RESOURCE_MANAGER is not\n   defined.\n3. add 'RT_MODULE_MEM_CUSTOM' to reconfig module memory interfaces.\n4. add log to debug module issues.\n5. PrepareModuleBuilding : add res builders.\n6. fixed ua.py compiler error.\n\nChange-Id: Ia7e97114566e1aab8a576463f74f124db2a10de0",1,0.9993836879730223,"LV_USING_EXT_RESOURCE_MANAGER, RT_MODULE_MEM_CUSTOM","middleware/app_fwk/gui_app_fwk.c, middleware/include/mod_installer.h, middleware/mod_installer/mod_installer.c, rtos/rtthread/components/libc/Kconfig, rtos/rtthread/components/libc/libdl/dlelf.c, rtos/rtthread/components/libc/libdl/dlmodule.c, rtos/rtthread/components/libc/libdl/dlmodule.h, tools/build/building.py, tools/build/ua.py",1,build system,other,SiFli-SDK.json,repos/SiFli-SDK
SiFli-SDK,https://github.com/OpenSiFli/SiFli-SDK,bda252b7bf13452be0357d3d544f4da070eb2b20,c11a1cb3f06acd369caaa62e85790718bb860f28,Xiaoming Xi,2025-08-14,"[opt][tool] Fix save coredump fail if LCPU is not released\n\next-redmine: #6932, REDMINE-6932\n\n[Description in detail]\nSome example doesn't use LCPU, so LCPU is not released. It results in dumping LCPU data failure and fails to dump HCPU data either.\n\nChange-Id: I6dc517136618377cd30c1938c9283b818fc22170",1,0.9997043013572692,CPU,tools/crash_dump_analyser/script/sf32lb52x.jlink,0,other,other,SiFli-SDK.json,repos/SiFli-SDK
