project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,c9087c2a6068b23207517f7d7ff796e68290358b,14ae3ba7f94f962669e3274cad28dcabb5185287,bellard,2003-05-27,cr2 update (dosemu VGA support fix)\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@191 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.990638256072998,VGA,linux-user/signal.c,0,other,other,qemu-t8030.json,repos/qemu-t8030
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,1e5ffbedded7ded797f5042d82b70109a712b4c0,79638566e5b87058e92f537b989df0dbc23f8b41,bellard,2003-06-15,fixed float to int overflow bug - added ARM host correct roundings for float rounding\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@237 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.9995273351669312,ARM,"helper-i386.c, op-i386.c",0,other,other,qemu-t8030.json,repos/qemu-t8030
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,6e295807acbaf7eb3200a685376fb968ebdb8571,f2674e31e0b79a8e30335438f274b846d084a383,bellard,2003-07-09,ARM fixes\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@314 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.999502420425415,ARM,"arm-dis.c, exec-arm.h, op-arm.c, translate-arm.c",0,other,other,qemu-t8030.json,repos/qemu-t8030
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,6fb883e8e3ce8fc661e4bb9f068565b4ccd97abf,6e295807acbaf7eb3200a685376fb968ebdb8571,bellard,2003-07-09,ARM fix: mmap\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@315 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.999427318572998,ARM,linux-user/syscall.c,0,other,other,qemu-t8030.json,repos/qemu-t8030
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,a1516e92b6ed887ef27f3a33a27a9acd772a5de4,6fb883e8e3ce8fc661e4bb9f068565b4ccd97abf,bellard,2003-07-09,ARM init fix\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@316 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.9993495345115662,ARM,linux-user/elfload.c,0,other,other,qemu-t8030.json,repos/qemu-t8030
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,1b21b62ab4b68da17b18f630e33ff7e1d5e3d3a2,a1516e92b6ed887ef27f3a33a27a9acd772a5de4,bellard,2003-07-09,ARM fixes\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@317 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.9995071887969972,ARM,cpu-exec.c,0,other,other,qemu-t8030.json,repos/qemu-t8030
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,39cf7803273871207ec06a0d162e181998ccc384,e89f66eca974d2a9d5d89271c6041daefdab2105,bellard,2003-08-05,fixed graphical VGA 16 color mode - fixed 9 pixel wide text mode\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@345 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.9996844530105592,VGA,"hw/vga.c, hw/vga_template.h",0,other,other,qemu-t8030.json,repos/qemu-t8030
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,3b22c4707decb706b10ce023534f8b79413ff9fe,96e6e05372837a00d26284a8ba25ecb533a2e410,bellard,2003-08-10,fixed invalid ESP usage (Jon Nall)\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@362 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.9996713399887084,ESP,helper-i386.c,0,other,other,qemu-t8030.json,repos/qemu-t8030
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,e748ba4f5352061474668a47341abe2a898e03ad,b8ed223bfe3b1af434adce07b2981ce8b5b9ecb4,bellard,2003-11-03,ARM half word load/store fix (Ulrich Hecht)\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@438 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.9996119141578674,ARM,target-arm/translate.c,0,other,other,qemu-t8030.json,repos/qemu-t8030
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,6dca2016fc0cca49ce866b7f2fcfffe011c1f496,678673089d1ba7cd0f2960a2815a0d5bb8a72fa3,bellard,2003-11-23,fixed PPC state reloading\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@475 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.99953031539917,PPC,translate-all.c,0,other,other,qemu-t8030.json,repos/qemu-t8030
qemu-t8030,https://github.com/TrungNguyen1909/qemu-t8030,cf495bcf9ffe0f1450a5de7497612dd1be23ff2a,fb0eaffc6d9982b5eee439b8461851bd18bf35ce,bellard,2004-01-04,SPARC fixes: corrected PC/NPC logic (now slower but can be optimized a lot) - fixed flags computations - added register window exceptions support - fixed mul and div - added mulscc - fixed immediate field decoding\n\n\ngit-svn-id: svn://svn.savannah.nongnu.org/qemu/trunk@484 c046a42c-6fe2-441c-8c8c-71466251a162,1,0.9995754361152648,SPARC,"linux-user/sparc/syscall_nr.h, target-sparc/cpu.h, target-sparc/op.c, target-sparc/translate.c",0,other,other,qemu-t8030.json,repos/qemu-t8030
