project_name,repository_url,commit_hash,parent_commit_hash,author,date,message,variability_bug,bug_probability,matched_features,files_changed,build_system_affected,impact_scope,feature_scope,json_source_file,repo_dir
zephyr-doc,https://github.com/chunhuajiang/zephyr-doc,808e5c4ba0cd7fde5fb7f83b041b7254cf0414cd,2e3e28c3edd3d4aa9ec98547364f77fc63468f02,Juan Manuel Cruz,2015-04-27,Fixes to Kbuild to build on ARM architecture.\n\nThis commit fixes issues to allow build on ARM architecture.\n- It fixes the include paths in Makefiles.\n- It fixes the include path for the offsets.c compilation.\n- It fixes the linker command. This changes is needed because gcc\n  ARM cross-compiler does not accept an AT() command without\n  specifing an address explicitly. This corner case appears\n  on ARM architectures when XIP is disabled.\n\nSigned-off-by: Juan Manuel Cruz <juan.m.cruz.alcaraz@linux.intel.com>\nChange-Id: Ief8b53c4cc154abba7b7827121ec5a56f62b7b26,1,0.9996144771575928,"ARM, XIP","arch/arm/bsp/CortexM/Makefile, arch/arm/bsp/Makefile, arch/arm/core/Makefile, arch/arm/fsl_frdm_k64f/Makefile, arch/arm/ti_lm3s6965/Makefile, arch/arm/timer/Makefile, drivers/console/Makefile, include/nanokernel/arm/CortexM/scripts/linker.cmd, scripts/Makefile.preparch",1,build system,other,zephyr-doc.json,repos/zephyr-doc
zephyr-doc,https://github.com/chunhuajiang/zephyr-doc,71c7083ae049ce8b9f14250587f1b14048b55c83,06b41d1ace43b58ab580d3c2fe73c63c18b689ce,Juan Manuel Cruz,2015-05-04,Kbuild: iSSE_FP_MATH flag fix.\n\nThis commit fixes the issue that the iSSE_FP_MATH flags was\nnot being added during the build process.\n\nSigned-off-by: Juan Manuel Cruz <juan.m.cruz.alcaraz@linux.intel.com>\nChange-Id: I0702e8b317fde1858e90145efaa470146ad5a416,1,0.9997192025184632,"SSE, SSE_FP_MATH",scripts/Makefile.x86.preparch,1,build system,other,zephyr-doc.json,repos/zephyr-doc
zephyr-doc,https://github.com/chunhuajiang/zephyr-doc,6b84a49a489c83ddcdcaff7daa2168888ca2dd3b,19b75dec90a81979f1530014674be909bb65e6dd,Anas Nashif,2015-05-15,Kconfig: fix NUM_IRQS value\n\nChange-Id: Ied0cf8862cd6a9ab998a22d23e59068f114bbff6\nSigned-off-by: Anas Nashif <anas.nashif@intel.com>,1,0.99970942735672,NUM_IRQS,"arch/arm/configs/micro_fsl_frdm_k64f_defconfig, arch/arm/configs/micro_ti_lm3s6965_defconfig, arch/arm/configs/nano_fsl_frdm_k64f_defconfig, arch/arm/configs/nano_ti_lm3s6965_defconfig, arch/arm/fsl_frdm_k64f/Kconfig",1,build system,other,zephyr-doc.json,repos/zephyr-doc
zephyr-doc,https://github.com/chunhuajiang/zephyr-doc,70611f4c81708b1f61d728260e26e6ab0867c8ec,cc438c208e2a62b3c183306081677f2cf6e4fe46,Juan Manuel Cruz,2015-05-20,Kbuild: Fix duplicated ksymbol UART_INTERRUPT_DRIVEN.\n\nThis commit removes the UART_INTERRUPT_DRIVEN kconfig symbol from\nthe console section.\nThe symbols is already covered as a serial driver symbol and it\nis a serial feature releated configuration option.\n\nChange-Id: I4b9438d79eb7850b1293d5d963a75ce00733dbf7\nSigned-off-by: Juan Manuel Cruz <juan.m.cruz.alcaraz@linux.intel.com>,1,0.9929766058921814,UART_INTERRUPT_DRIVEN,drivers/console/Kconfig,1,build system,other,zephyr-doc.json,repos/zephyr-doc
zephyr-doc,https://github.com/chunhuajiang/zephyr-doc,e1bb46881a2eebc558891787c98b734f0cf057b7,70611f4c81708b1f61d728260e26e6ab0867c8ec,Juan Manuel Cruz,2015-05-20,Kconfig: Fix to floating point blank page.\n\nThis commit fixes an error when the floating point menu shows a\nblank page.\nThis menu has a dependency against the FLOAT option selection\nand the ENHANCED_SECURITY option selection.\n\nChange-Id: Ib9f558f386b9a9883d4aa393e3cb913d187b5ce9\nSigned-off-by: Juan Manuel Cruz <juan.m.cruz.alcaraz@linux.intel.com>,1,0.9996756315231324,FLOAT,arch/x86/core/Kconfig,1,build system,other,zephyr-doc.json,repos/zephyr-doc
zephyr-doc,https://github.com/chunhuajiang/zephyr-doc,1b670ab7aef79d53dab4795873240d337dcb8b8a,02085a3fda13607bda17bd43bc77aef812bc7d25,Anas Nashif,2015-05-24,Kbuild: fix yocto toolchain settings for ARC\n\nChange-Id: Ib075242c43738eee1cace219ac5a02e66c566ace\nSigned-off-by: Anas Nashif <anas.nashif@intel.com>,1,0.9997033476829528,ARC,scripts/Makefile.toolchain.yocto,1,build system,other,zephyr-doc.json,repos/zephyr-doc
zephyr-doc,https://github.com/chunhuajiang/zephyr-doc,2e67281420cfbb485ccdf42a31df532f647f67e4,3446d624126a418b81f70eca6ca5e98c0a42ea8b,Anas Nashif,2015-05-26,Fix CONFIG_NUM_IRQS for arm\n\nChange-Id: I46184b36ad9f7d436fd2c2736d08ab4fdcae373d\n\nSigned-off-by: Anas Nashif <anas.nashif@intel.com>,1,0.999703586101532,NUM_IRQS,"arch/arm/configs/micro_fsl_frdm_k64f_defconfig, arch/arm/configs/micro_ti_lm3s6965_defconfig, arch/arm/configs/nano_fsl_frdm_k64f_defconfig, arch/arm/configs/nano_ti_lm3s6965_defconfig",0,other,other,zephyr-doc.json,repos/zephyr-doc
zephyr-doc,https://github.com/chunhuajiang/zephyr-doc,f9360e80691e818f1cb964173168e9419851cb51,f1c7c178cf237abc4ef5e6d01659076ddbbedfd7,Andrei Emeltchenko,2015-05-29,make: Fix qemu flags for ARM architecture\n\nFixes missing qemu flag and when adding Bluetooth -serial switch it\nbecame the first UART.\n\nChange-Id: I85f4bf236383a288f2935f6455141fa7b18c3ac8\nSigned-off-by: Andrei Emeltchenko <andrei.emeltchenko@intel.com>,1,0.999664068222046,ARM,scripts/Makefile.arm.preparch,1,build system,other,zephyr-doc.json,repos/zephyr-doc
zephyr-doc,https://github.com/chunhuajiang/zephyr-doc,5c6baa942c1dbaa88e254b99198a75939247e6e4,ada9a6f66fa39d2675ca057e876e91399e361b67,Szymon Janc,2015-06-05,Bluetooth: Fix peripheral sample build for ARM\n\n  LD      microkernel.elf\nsamples/bluetooth/peripheral/src/built-in.o: In function\n    `mainloop':\nsamples/bluetooth/peripheral/src/main.c:514: undefined reference\n     to `sys_rand32_get'\ncollect2: error: ld returned 1 exit status\n\nChange-Id: Idec91d59fd98ec06f5e5728238cf9d9f6c37eb87\nSigned-off-by: Szymon Janc <szymon.janc@tieto.com>,1,0.999669313430786,ARM,samples/bluetooth/peripheral/prj_arm.conf,0,other,other,zephyr-doc.json,repos/zephyr-doc
zephyr-doc,https://github.com/chunhuajiang/zephyr-doc,6bed1bd9d4d66a74d69eb0bb792ab159552b816b,bfd2d5f4cc537661a97916d24bece807b2db76bf,Benjamin Walsh,2015-05-29,"arm: fix RUNTIME_NMI failures\n\nThe type of the handler variable was missing, causing compile failures.\n\nChange-Id: I33c0f8d2893de0c6ad14f33ecb03b106c87cf758\nSigned-off-by: Benjamin Walsh <benjamin.walsh@windriver.com>",1,0.9997187256813048,RUNTIME_NMI,arch/arm/bsp/CortexM/nmi.c,0,other,other,zephyr-doc.json,repos/zephyr-doc
